STATE,NAME,CENSUSAREA,Longitude,Latitude,Hospital Count,Bed Count,FIPS_plotly,POPESTIMATE2018,Median_Household_Income_2018
MN,Steele,429.645,44.02238174898632,-93.22617077900408,1.0,43.0,27147,36803.0,65323.0
MN,Todd,944.982,46.07050126916012,-94.89860139632013,2.0,71.0,27153,24582.0,58113.0
MN,Waseca,423.356,44.02210417012615,-93.58722325894526,1.0,35.0,27161,18691.0,58335.0
MS,Alcorn,400.038,34.882401759751744,-88.57716011473364,1.0,200.0,28003,36925.0,40010.0
MS,Calhoun,586.573,33.93465789992443,-89.33461292724466,1.0,25.0,28013,14436.0,39176.0
MS,Chickasaw,501.779,33.92184715754966,-88.94473546002068,1.0,84.0,28017,17171.0,37429.0
MS,Copiah,777.244,31.870652733039204,-90.4453531637485,1.0,25.0,28029,28543.0,38664.0
MS,Franklin,563.779,31.477366257964416,-90.89740933538356,1.0,25.0,28037,7788.0,39508.0
MS,Hinds,869.741,32.26760376174056,-90.44530673772005,8.0,2427.0,28049,237085.0,44776.0
MS,Jasper,676.243,32.01919267136028,-89.11855363243076,1.0,16.0,28061,16428.0,36987.0
MS,Jefferson Davis,408.443,31.56884708108951,-89.8267099039826,1.0,35.0,28065,11234.0,31739.0
MS,Lauderdale,703.634,32.40428018763507,-88.6621677987604,7.0,988.0,28075,75317.0,40077.0
LA,West Baton Rouge,192.394,30.470899743160086,-91.32217234807459,,,22121,26427.0,58205.0
LA,Winn,950.086,31.944923043657496,-92.63919626523482,2.0,80.0,22127,14134.0,40133.0
ME,Hancock,1586.893,44.662627801569485,-68.35830218093021,3.0,114.0,23009,54811.0,52148.0
ME,Washington,2562.66,45.032558495432966,-67.62710141641857,2.0,50.0,23029,31490.0,39522.0
MD,Allegany,424.158,39.619692908848364,-78.70476842019038,2.0,451.0,24001,70975.0,43535.0
MD,Anne Arundel,414.902,39.003170756106066,-76.60531869444493,2.0,673.0,24003,576031.0,97051.0
MD,Calvert,213.152,38.53846411562147,-76.56638271408129,1.0,76.0,24009,92003.0,106270.0
MD,Charles,457.749,38.509610539001955,-76.99000656485138,1.0,89.0,24017,161503.0,92616.0
MD,Dorchester,540.765,38.47013332370788,-76.02404914992486,3.0,409.0,24019,31998.0,48682.0
